County,District,School,Assistance Status
Orange,Huntington Beach City Elementary,Isaac L. Sowers Middle,General Assistance
Los Angeles,Inglewood Unified,Wilder's Preparatory Academy Charter,General Assistance
Los Angeles,Inglewood Unified,Wilder's Preparatory Academy Charter Middle,General Assistance
Los Angeles,Inglewood Unified,Today's Fresh Start Charter School Inglewood,General Assistance
Los Angeles,Inglewood Unified,Children of Promise Preparatory Academy,General Assistance
Los Angeles,Inglewood Unified,Grace Hopper STEM Academy,General Assistance
Los Angeles,Inglewood Unified,La Tijera K-8 Charter School Academy of Excellence,General Assistance
Los Angeles,Inglewood Unified,Frank D. Parent,General Assistance
Los Angeles,Inglewood Unified,Beulah Payne P-8 STEAM Academy,General Assistance
Los Angeles,Inglewood Unified,Woodworth-Monroe K-8 Academy,General Assistance
Los Angeles,Inglewood Unified,Crozier (George W.) Middle,CSI Low Perform
Orange,Irvine Unified,Jeffrey Trail Middle,General Assistance
Orange,Irvine Unified,Beacon Park,General Assistance
Orange,Irvine Unified,Cadence Park,General Assistance
Orange,Irvine Unified,Rancho San Joaquin Middle,General Assistance
Orange,Irvine Unified,Vista Verde,General Assistance
Orange,Irvine Unified,Venado Middle,General Assistance
Orange,Irvine Unified,Lakeside Middle,General Assistance
Orange,Irvine Unified,Sierra Vista Middle,General Assistance
Orange,Irvine Unified,South Lake Middle,General Assistance
Orange,Irvine Unified,Plaza Vista,General Assistance
San Mateo,Jefferson Elementary,California Virtual Academy San Mateo,CSI Grad
San Mateo,Jefferson Elementary,Benjamin Franklin Intermediate,General Assistance
San Mateo,Jefferson Elementary,Thomas R. Pollicita Middle,General Assistance
San Mateo,Jefferson Elementary,Fernando Rivera Intermediate,General Assistance
San Mateo,Jefferson Union High,Summit Public School: Shasta,General Assistance
Contra Costa,John Swett Unified,Carquinez Middle,ATSI
Marin,Kentfield Elementary,Adaline E. Kent Middle,General Assistance
Los Angeles,Keppel Union Elementary,Sage Oak Charter - Keppel Community Collaborative,General Assistance
Los Angeles,Keppel Union Elementary,Keppel Academy,General Assistance
Orange,La Habra City Elementary,Imperial Middle,General Assistance
Orange,La Habra City Elementary,Washington Middle,General Assistance
Contra Costa,Lafayette Elementary,M. H. Stanley Middle,General Assistance
Orange,Laguna Beach Unified,Thurston Middle,General Assistance
Los Angeles,Lancaster Elementary,Endeavour Middle,ATSI
Los Angeles,Lancaster Elementary,Life Source International Charter,ATSI
Los Angeles,Lancaster Elementary,Discovery,General Assistance
Los Angeles,Lancaster Elementary,iLEAD Lancaster Charter,ATSI
Los Angeles,Lancaster Elementary,Fulton and Alsbury Academy of Arts and Engineering,General Assistance
Los Angeles,Lancaster Elementary,Amargosa Creek Middle,General Assistance
Los Angeles,Lancaster Elementary,Piute Middle,General Assistance
Los Angeles,Lancaster Elementary,Lancaster Alternative and Virtual Academies,General Assistance
Los Angeles,Lancaster Elementary,New Vista Middle,General Assistance
Los Angeles,Lancaster Elementary,The Leadership Academy,CSI Low Perform
Marin,Larkspur-Corte Madera,Cove,ATSI
Marin,Larkspur-Corte Madera,Hall Middle,General Assistance
San Mateo,Las Lomitas Elementary,La Entrada Middle,General Assistance
Los Angeles,Las Virgenes Unified,Alice C. Stelle Middle,General Assistance
Los Angeles,Las Virgenes Unified,Mariposa School of Global Education,General Assistance
Los Angeles,Las Virgenes Unified,Arthur E. Wright Middle,General Assistance
Los Angeles,Las Virgenes Unified,Lindero Canyon Middle,General Assistance
Los Angeles,Lawndale Elementary,Jane Addams Middle,General Assistance
Los Angeles,Lawndale Elementary,Will Rogers Middle,General Assistance
Los Angeles,Lennox,"Lennox Mathematics, Science and Technology Academy",General Assistance
Los Angeles,Lennox,Century Community Charter,General Assistance
