County,District,School,Assistance Status
Los Angeles,Los Angeles County Office of Education,Environmental Charter Middle - Inglewood,General Assistance
Los Angeles,Los Angeles County Office of Education,Optimist Charter,General Assistance
Los Angeles,Los Angeles County Office of Education,Lashon Academy,General Assistance
Los Angeles,Los Angeles County Office of Education,Valiente College Preparatory Charter,General Assistance
Los Angeles,Los Angeles County Office of Education,Intellectual Virtues Academy,General Assistance
Los Angeles,Los Angeles County Office of Education,Alma Fuerte Public,General Assistance
Los Angeles,Los Angeles County Office of Education,Soleil Academy Charter,General Assistance
Los Angeles,Los Angeles County Office of Education,Magnolia Science Academy 5,General Assistance
Los Angeles,Los Angeles County Office of Education,Renaissance County Community,CSI Grad
Los Angeles,Los Angeles County Office of Education,Odyssey Charter,General Assistance
Los Angeles,Los Angeles County Office of Education,Magnolia Science Academy,General Assistance
Los Angeles,Los Angeles Unified,N.E.W. Academy of Science and Arts,General Assistance
Los Angeles,Los Angeles Unified,Stella Middle Charter Academy,General Assistance
Los Angeles,Los Angeles Unified,Central City Value,General Assistance
Los Angeles,Los Angeles Unified,KIPP Los Angeles College Preparatory,General Assistance
Los Angeles,Los Angeles Unified,William J. Johnston Community Day,General Assistance
Los Angeles,Los Angeles Unified,KIPP Academy of Opportunity,General Assistance
Los Angeles,Los Angeles Unified,Richard Riordan Primary Center,ATSI
Los Angeles,Los Angeles Unified,Renaissance Arts Academy,General Assistance
Los Angeles,Los Angeles Unified,Aggeler Community Day,General Assistance
Los Angeles,Los Angeles Unified,Ocean Charter,General Assistance
Los Angeles,Los Angeles Unified,PUC Milagro Charter,General Assistance
Los Angeles,Los Angeles Unified,Animo South Los Angeles Charter,General Assistance
Los Angeles,Los Angeles Unified,PUC Lakeview Charter Academy,General Assistance
Los Angeles,Los Angeles Unified,N.E.W. Academy Canoga Park,General Assistance
Los Angeles,Los Angeles Unified,Dr. Theodore T. Alexander Jr. Science Center,General Assistance
Los Angeles,Los Angeles Unified,New Designs Charter,General Assistance
Los Angeles,Los Angeles Unified,Richard A. Alonzo Community Day,CSI Grad
Los Angeles,Los Angeles Unified,Dr. Richard A. Vladovic Harbor Teacher Preparation Academy,General Assistance
Los Angeles,Los Angeles Unified,Ivy Academia,ATSI
Los Angeles,Los Angeles Unified,Synergy Charter Academy,General Assistance
Los Angeles,Los Angeles Unified,Animo Pat Brown,General Assistance
Los Angeles,Los Angeles Unified,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,General Assistance
Los Angeles,Los Angeles Unified,Bert Corona Charter,General Assistance
Los Angeles,Los Angeles Unified,Maple Primary Center,ATSI
Los Angeles,Los Angeles Unified,Stanford Primary Center,General Assistance
Los Angeles,Los Angeles Unified,Vista Middle,General Assistance
Los Angeles,Los Angeles Unified,Southeast Middle,General Assistance
Los Angeles,Los Angeles Unified,Orthopaedic Hospital,General Assistance
Los Angeles,Los Angeles Unified,CHAMPS - Charter HS of Arts-Multimedia & Performing,General Assistance
Los Angeles,Los Angeles Unified,Gabriella Charter,General Assistance
Los Angeles,Los Angeles Unified,ISANA Nascent Academy,General Assistance
Los Angeles,Los Angeles Unified,Larchmont Charter,General Assistance
Los Angeles,Los Angeles Unified,Olympic Primary Center,General Assistance
Los Angeles,Los Angeles Unified,Lake Street Primary,ATSI
Los Angeles,Los Angeles Unified,Martha Escutia Primary Center,ATSI
Los Angeles,Los Angeles Unified,Garza (Carmen Lomas) Primary Center,General Assistance
Los Angeles,Los Angeles Unified,"Danny J. Bakewell, Sr., Primary Center",General Assistance
Los Angeles,Los Angeles Unified,Hooper Avenue Primary Center,General Assistance
Los Angeles,Los Angeles Unified,Mariposa-Nabi Primary Center,General Assistance
Los Angeles,Los Angeles Unified,Lexington Avenue Primary Center,General Assistance
Los Angeles,Los Angeles Unified,Middleton Primary Center,General Assistance
Los Angeles,Los Angeles Unified,Amanecer Primary Center,General Assistance
Los Angeles,Los Angeles Unified,Hollywood Primary Center,General Assistance
Los Angeles,Los Angeles Unified,Washington Primary Center,General Assistance
Los Angeles,Los Angeles Unified,Pacific Boulevard,General Assistance
Los Angeles,Los Angeles Unified,Rosa Parks Learning Center,General Assistance
Los Angeles,Los Angeles Unified,Santee Education Complex,ATSI
Los Angeles,Los Angeles Unified,James Jordan Middle,General Assistance
Los Angeles,Los Angeles Unified,Our Community Charter,General Assistance
Los Angeles,Los Angeles Unified,Los Angeles Academy of Arts and Enterprise,General Assistance
Los Angeles,Los Angeles Unified,New Heights Charter,General Assistance
Los Angeles,Los Angeles Unified,New Village Girls Academy,General Assistance
Los Angeles,Los Angeles Unified,Alliance Patti And Peter Neuwirth Leadership Academy,General Assistance
Los Angeles,Los Angeles Unified,Alliance Jack H. Skirball Middle,General Assistance
Los Angeles,Los Angeles Unified,Animo Watts College Preparatory Academy,General Assistance
Los Angeles,Los Angeles Unified,Alliance Ouchi-O'Donovan 6-12 Complex,General Assistance
Los Angeles,Los Angeles Unified,Alliance Marc & Eva Stern Math and Science,General Assistance
Los Angeles,Los Angeles Unified,William Jefferson Clinton Middle,General Assistance
Los Angeles,Los Angeles Unified,School of Business and Tourism at Contreras Learning Complex,General Assistance
Los Angeles,Los Angeles Unified,Hesby Oaks Leadership Charter,General Assistance
Los Angeles,Los Angeles Unified,PUC Excel Charter Academy,General Assistance
Los Angeles,Los Angeles Unified,Los Feliz Charter School for the Arts,General Assistance
Los Angeles,Los Angeles Unified,Bright Star Secondary Charter Academy,General Assistance
Los Angeles,Los Angeles Unified,Contreras Learning Center-Los Angeles School of Global Studies,General Assistance
Los Angeles,Los Angeles Unified,John H. Liechty Middle,General Assistance
Los Angeles,Los Angeles Unified,Aspire Junior Collegiate Academy,General Assistance
Los Angeles,Los Angeles Unified,Monsenor Oscar Romero Charter Middle,ATSI
Los Angeles,Los Angeles Unified,Global Education Academy,General Assistance
Los Angeles,Los Angeles Unified,Fenton Primary Center,General Assistance
Los Angeles,Los Angeles Unified,"Ivy Bound Academy of Math, Science, and Technology Charter Middle",ATSI
Los Angeles,Los Angeles Unified,Center for Advanced Learning,General Assistance
Los Angeles,Los Angeles Unified,Discovery Charter Preparatory #2,General Assistance
Los Angeles,Los Angeles Unified,ICEF Vista Middle Academy,General Assistance
Los Angeles,Los Angeles Unified,Jack London Community Day,General Assistance
Los Angeles,Los Angeles Unified,Dr. James Edward Jones Primary Center,General Assistance
Los Angeles,Los Angeles Unified,Enadia Way Technology Charter,ATSI
Los Angeles,Los Angeles Unified,Roy Romer Middle,General Assistance
Los Angeles,Los Angeles Unified,Edward R. Roybal Learning Center,General Assistance
Los Angeles,Los Angeles Unified,APEX Academy,ATSI
Los Angeles,Los Angeles Unified,Alliance Piera Barbaglia Shaheen Health Services Academy,General Assistance
Los Angeles,Los Angeles Unified,New Los Angeles Charter,General Assistance
Los Angeles,Los Angeles Unified,Magnolia Science Academy 4,General Assistance
Los Angeles,Los Angeles Unified,Magnolia Science Academy 6,General Assistance
Los Angeles,Los Angeles Unified,Magnolia Science Academy 7,General Assistance
Los Angeles,Los Angeles Unified,Contreras Learning Center-Academic Leadership Community,General Assistance
Los Angeles,Los Angeles Unified,School for the Visual Arts and Humanities,General Assistance
Los Angeles,Los Angeles Unified,Synergy Kinetic Academy,General Assistance
Los Angeles,Los Angeles Unified,KIPP Raices Academy,General Assistance
Los Angeles,Los Angeles Unified,New Millennium Secondary,General Assistance
Los Angeles,Los Angeles Unified,ICEF Innovation Los Angeles Charter,General Assistance
Los Angeles,Los Angeles Unified,Goethe International Charter,General Assistance
Los Angeles,Los Angeles Unified,Alain Leroy Locke College Preparatory Academy,CSI Grad
Los Angeles,Los Angeles Unified,New Open World Academy K-12,General Assistance
Los Angeles,Los Angeles Unified,UCLA Community K-12,General Assistance
Los Angeles,Los Angeles Unified,Sal Castro Middle,General Assistance
Los Angeles,Los Angeles Unified,Ramon C. Cortines School of Visual and Performing Arts,General Assistance
Los Angeles,Los Angeles Unified,Young Oak Kim Academy,General Assistance
Los Angeles,Los Angeles Unified,Equitas Academy Charter,General Assistance
Los Angeles,Los Angeles Unified,Endeavor College Preparatory Charter,General Assistance
Los Angeles,Los Angeles Unified,Valor Academy Middle,General Assistance
